state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,State,Abbreviation,Largest Employer,Type of Industry,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2018Q1P,2018Q2P,2018Q3P,2018Q4P,2019Q1P,2019Q2P,2019Q3P,2019Q4P,Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Reference(Paid Sick Leave),Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017
AK,2020-04-04,169,3,67,2,17,24,7,7,-0.5024030328950726,-0.565503527386411,-0.9994191353810814,Alaska,Alaska,Arctic Slope Regional Corporation,Energy,Government,79.3,53563,54373,55410,55591,54941,55495,55430,55759,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,No,No,No,,6.0,5.8,73181
AL,2020-04-04,1632,44,912,40,17,22,nan,0,-0.3946963343402223,-0.6076261474149466,-0.42326837170171133,Alabama,Ala.,Alabama Power Company,Utlity,Government,393.5,217370,220572,223141,225859,227735,229939,232145,234054,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,No,No,No,,2.7,2.7,48123
AR,2020-04-04,743,14,334,9,17,24,nan,nan,-0.4058095060779528,-0.5894682241648405,-0.7814047264574394,Arkansas,Ark.,Walmart Inc.,Retail,"Trade, Transportation, & Utilities",253.2,126089,128353,129033,130201,131038,132438,134022,135225,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,No,No,No,,3.5,3.9,45869
AZ,2020-04-04,2019,53,1246,38,17,24,nan,4,-0.40770951236002584,-0.6505330817056804,-0.8939494193117936,Arizona,Ariz.,"Avnet, Inc.",Electronics,"Trade, Transportation, & Utilities",551.3,340673,345474,351709,355333,359405,364277,368556,372522,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,No,Yes,Yes,,4.5,4.5,56581
CA,2020-04-04,13796,323,8231,202,17,31,16,16,-0.4973460689433865,-0.7093670826259914,-0.8222248923425837,California,Calif.,Apple Inc.,Consumer electronics,"Trade, Transportation, & Utilities","3,062.50",2928096,2992623,3017340,3052871,3087669,3123732,3155224,3183251,14.5,14.6,14.5,14.6,14.6,14.6,14.6,14.6,Yes,Yes,Yes,1.0,3.9,2.5,71805
CO,2020-04-04,4574,126,2513,82,17,24,9,9,-0.5118685814858834,-0.6973634552283994,-0.9318979359509946,Colorado,Colo.,"Arrow Electronics, Inc.",Electronics,"Trade, Transportation, & Utilities",481.5,362721,370477,375312,378489,383690,388731,392348,396367,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,No,No,No,,2.5,2.8,69117
CT,2020-04-04,5276,165,3752,132,17,25,12,12,-0.5322516405360018,-0.6794932639982176,-0.4289819152030948,Connecticut,Conn.,Aetna Inc,Health care,Education & Health Services,345.1,272854,273884,278295,277874,281659,284357,287560,288985,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,Yes,Yes,Yes,,3.7,3.9,74168
DC,2020-04-04,902,21,598,17,17,24,10,3,-0.6656983832563645,-0.8271860687754378,3.9200872490866328,District of Columbia,D.C.,,,Government,239.7,138469,139580,141969,142626,144075,145476,146996,148231,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,Yes,Yes,Yes,,5.2,2.8,82372
DE,2020-04-04,593,14,379,9,17,22,11,11,-0.49891159199500607,-0.7293397304430995,-0.3820984630720873,Delaware,Del.,DowDuPont Inc.,Chemicals,"Trade, Transportation, & Utilities",82.8,72091,73025,74461,74348,74270,75216,75765,76410,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,No,No,No,,4.0,5.2,62852
FL,2020-04-04,11537,194,7499,138,17,26,nan,1,-0.5682771612771602,-0.7104740900991879,-0.018096978328947744,Florida,Fla.,World Fuel Services,Energy,"Trade, Transportation, & Utilities","1,823.00",1020177,1032277,1048478,1056014,1073992,1087312,1100721,1111378,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,No,No,No,,2.8,3.1,52594
