state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport,COMMUTING TO WORK-Workers 16 years and over,"COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled",Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Estimate-COMMUTING TO WORK-Workers 16 years and over-Mean travel time to work (minutes),Labour Overall Index Score,Labour Overall Index Ranking,Wage Dimension Score,Worker Protection Dimension Score,Right to Organize Dimension Score,Wage Dimension Score 2019,Wage Dimension ranking 2019,MIT Living Wage 2019,Minimum Wage 2019,Wage Ratio (Living wage/Minimum wage),Local Control of Min. Wage 2019 (1=Yes),Worker Protection Dimension 2020 Score,Worker Protection Dimension 2020 Ranking,"Family Leave Indicator (Job-protected leave for non-FMLA Workers < 1 year on job_0.5=Yes, 0.25=Yes for Pregnant Workers only)",Family Leave Indicator ( Job-protected leave longer than Federal FMLA),Paid Family Leave (Yes=1),Paid Sick Leave Indicator Law in Place (1=Yes),Flexible Scheduling (yes=1),Reporting Pay (yes=1),Split Shift Pay 2019 (yes=1),Advanced Shift Notice 2019 (yes=1),Annual State GDP for 2019,U.S. State Population 2019 Estimate,U.S. State Land Area (Square Miles),State Population Per Square Mile
AK,2020-04-07,211,4,78,2,20,27,10,10,-38.0,-16.0,1.0,-48.0,-44.0,18.0,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R,18.5,51.6,358627,246808,68.8,43758,12.2,4981,1.4,27575,7.7,18774,5.2,16731,4.7,18.8,55.51088958,19,44.31044652,22.22222222,100.0,44.31044652,19,26.94,9.89,0.367112101,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,55406100000.0,731545,570640.95,1.281970738
AL,2020-04-07,2197,64,1198,50,20,25,nan,3,-39.0,-11.0,-15.0,-31.0,-42.0,18.0,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R,24.3,46.2,2051445,1760032,85.8,174391,8.5,6959,0.3,22977,1.1,20205,1.0,66881,3.3,24.7,7.751966772999999,49,17.70034476,5.555555556,0.0,17.70034476,32,23.92,7.25,0.303093645,0,5.555555556,49,0.0,0.0,0,0,0,0,0,0,230968000000.0,4903185,50645.33,96.81415838
AR,2020-04-07,997,18,433,10,20,27,nan,nan,-30.0,-6.0,46.0,-24.0,-37.0,14.0,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R,21.2,34.8,1274750,1055112,82.8,133980,10.5,4631,0.4,22089,1.7,15481,1.2,43457,3.4,21.7,35.50651656,32,53.74177191,30.55555556,22.22222222,53.74177191,14,23.73,9.25,0.389801938,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0,133181000000.0,3017804,52035.48,57.99512179
AZ,2020-04-07,2577,77,1279,53,20,27,nan,7,-38.0,-15.0,-18.0,-39.0,-48.0,17.0,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R,25.2,51.3,3008707,2306027,76.6,326774,10.9,57302,1.9,57910,1.9,77966,2.6,182728,6.1,25.3,51.70533825,21,94.00490363,38.88888889,22.22222222,94.00490363,4,25.79,11.0,0.426521908,1,38.88888889,19,0.0,0.0,0,1,0,0,0,0,366190000000.0,7278717,113594.08,64.07655223
CA,2020-04-07,17540,447,8957,263,20,34,19,19,-47.0,-23.0,-41.0,-57.0,-55.0,24.0,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D,29.4,51.4,17904213,13203972,73.7,1835455,10.3,910567,5.1,474721,2.7,458688,2.6,1020810,5.7,29.3,90.32074918,2,79.29558088,91.66666667,100.0,79.29558088,6,30.68,12.0,0.391134289,1,91.66666667,1,0.25,0.25,1,1,0,1,1,1,3137470000000.0,39512223,155779.22,253.6424499
CO,2020-04-07,5429,179,2439,110,20,27,12,12,-41.0,-17.0,22.0,-53.0,-55.0,21.0,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D,24.9,43.2,2822072,2125477,75.3,249461,8.8,86516,3.1,80354,2.8,62050,2.2,218214,7.7,25.5,70.21292061,14,82.86098406,44.44444444,83.33333333,82.86098406,5,27.77,11.1,0.399711919,1,44.44444444,16,0.0,0.0,0,0,0,0,0,0,390284000000.0,5758736,103641.89,55.56378796
CT,2020-04-07,7781,277,4653,208,20,28,15,15,-41.0,-16.0,42.0,-50.0,-53.0,22.0,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D,25.0,46.9,1780653,1391925,78.2,143527,8.1,84347,4.7,49525,2.8,20763,1.2,90566,5.1,26.3,74.14720974,9,43.27496257,79.16666667,100.0,43.27496257,20,27.7,10.1,0.364620939,0,79.16666667,5,0.5,0.5,0,1,0,1,0,0,285640000000.0,"3,565,287",4842.36,736.2705375
DE,2020-04-07,928,16,609,6,20,25,14,14,-39.0,-21.0,15.0,-49.0,-49.0,20.0,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D,25.9,43.1,444908,360365,81.0,36601,8.2,11739,2.6,9518,2.1,5052,1.1,21633,4.9,25.8,61.74495202,16,35.23485605,50.0,100.0,35.23485605,25,26.79,9.25,0.345278089,0,50.0,14,0.0,0.0,0,0,0,0,0,0,75415500000.0,973764,1948.54,499.74031839999986
FL,2020-04-07,14739,295,7997,210,20,29,nan,4,-46.0,-23.0,-46.0,-56.0,-49.0,20.0,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R,27.4,48.6,9140393,7255390,79.4,841097,9.2,176146,1.9,129987,1.4,203254,2.2,534519,5.8,27.4,27.28284799,37,26.29298841,22.22222222,33.33333333,26.29298841,29,26.13,8.46,0.323765786,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0,1093350000000.0,21477737,53624.76,400.51903260000006
GA,2020-04-07,9156,348,5040,222,20,24,nan,4,-40.0,-14.0,-18.0,-50.0,-51.0,21.0,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R,28.5,50.2,4667378,3708394,79.5,456908,9.8,99181,2.1,69380,1.5,79013,1.7,254502,5.5,28.4,11.4775306,48,9.432591814,13.88888889,11.11111111,9.432591814,50,25.6,7.25,0.283203125,0,13.88888889,48,0.0,0.0,0,0,0,0,0,0,616333000000.0,10617423,57513.49,184.6075243
HI,2020-04-07,408,5,184,4,20,34,13,13,-50.0,-27.0,-66.0,-67.0,-51.0,23.0,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D,27.5,50.9,700228,468932,67.0,97951,14.0,45326,6.5,31742,4.5,22925,3.3,33352,4.8,27.4,58.49872048,17,21.32949478,54.16666667,100.0,21.32949478,30,32.39,10.1,0.311824637,0,54.16666667,11,0.5,0.0,0,0,0,0,0,0,97281700000.0,1415872,6422.63,220.4505008
IA,2020-04-07,1048,26,550,19,20,21,nan,nan,-38.0,-1.0,154.0,-18.0,-42.0,15.0,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R,19.1,30.5,1583271,1285034,81.2,131548,8.3,17435,1.1,51801,3.3,22181,1.4,75272,4.8,19.1,24.45636696,40,15.73021198,24.30555556,33.33333333,15.73021198,39,24.3,7.25,0.298353909,0,24.30555556,35,0.25,0.0,0,0,0,0,0,0,194789000000.0,3155070,55857.13,56.48464216
